Код ресурса,Наименование,Ед.изм.
22.21.29.120.16.1.01.03-1012-000,"Шланг спиральный напорно-всасывающий, диаметр 3/4"" (19 мм)",м
22.19.30.132.59.1.01.07-1846-000,"Шланг-чулок резинотканевый, диаметр 1000 мм",м
22.19.30.132.59.1.01.07-1839-000,"Шланг-чулок резинотканевый, диаметр 300 мм",м
22.19.30.132.59.1.01.07-1840-000,"Шланг-чулок резинотканевый, диаметр 400 мм",м
22.19.30.132.59.1.01.07-1841-000,"Шланг-чулок резинотканевый, диаметр 500 мм",м
22.19.30.132.59.1.01.07-1842-000,"Шланг-чулок резинотканевый, диаметр 600 мм",м
22.19.30.132.59.1.01.07-1843-000,"Шланг-чулок резинотканевый, диаметр 700 мм",м
22.19.30.132.59.1.01.07-1844-000,"Шланг-чулок резинотканевый, диаметр 800 мм",м
22.19.30.132.59.1.01.07-1845-000,"Шланг-чулок резинотканевый, диаметр 900 мм",м
22.21.29.120.59.1.24.02-0059-000,"Шланги бытовые гибкие сантехнические в металлической оплетке для подвода воды, с двумя латунными накидными гайками, длина 1000 мм",компл
22.21.29.120.59.1.24.02-0060-000,"Шланги бытовые гибкие сантехнические в металлической оплетке для подвода воды, с двумя латунными накидными гайками, длина 1100 мм",компл
22.21.29.120.59.1.24.02-0061-000,"Шланги бытовые гибкие сантехнические в металлической оплетке для подвода воды, с двумя латунными накидными гайками, длина 1200 мм",компл
22.21.29.120.59.1.24.02-0062-000,"Шланги бытовые гибкие сантехнические в металлической оплетке для подвода воды, с двумя латунными накидными гайками, длина 1300 мм",компл
22.21.29.120.59.1.24.02-0063-000,"Шланги бытовые гибкие сантехнические в металлической оплетке для подвода воды, с двумя латунными накидными гайками, длина 1400 мм",компл
22.21.29.120.59.1.24.02-0064-000,"Шланги бытовые гибкие сантехнические в металлической оплетке для подвода воды, с двумя латунными накидными гайками, длина 1500 мм",компл
22.21.29.120.59.1.24.02-0065-000,"Шланги бытовые гибкие сантехнические в металлической оплетке для подвода воды, с двумя латунными накидными гайками, длина 1600 мм",компл
22.21.29.120.59.1.24.02-0066-000,"Шланги бытовые гибкие сантехнические в металлической оплетке для подвода воды, с двумя латунными накидными гайками, длина 1800 мм",компл
22.21.29.120.59.1.24.02-0067-000,"Шланги бытовые гибкие сантехнические в металлической оплетке для подвода воды, с двумя латунными накидными гайками, длина 2300 мм",компл
22.21.29.120.59.1.24.02-0068-000,"Шланги бытовые гибкие сантехнические в металлической оплетке для подвода воды, с двумя латунными накидными гайками, длина 2500 мм",компл
22.21.29.120.59.1.24.02-0069-000,"Шланги бытовые гибкие сантехнические в металлической оплетке для подвода воды, с двумя латунными накидными гайками, длина 3000 мм",компл
22.21.29.120.59.1.24.02-0070-000,"Шланги бытовые гибкие сантехнические в металлической оплетке для подвода воды, с двумя латунными накидными гайками, длина 600 мм",компл
22.21.29.120.59.1.24.02-0071-000,"Шланги бытовые гибкие сантехнические в металлической оплетке для подвода воды, с двумя латунными накидными гайками, длина 740 мм",компл
22.21.29.120.59.1.24.02-0072-000,"Шланги бытовые гибкие сантехнические в металлической оплетке для подвода воды, с двумя латунными накидными гайками, длина 800 мм",компл
22.21.29.120.59.1.24.02-0073-000,"Шланги бытовые гибкие сантехнические в металлической оплетке для подвода воды, с двумя латунными накидными гайками, длина 900 мм",компл
22.19.30.120.01.7.07.29-0251-000,Шланги вакуумные из ПВХ,м
22.19.30.120.01.7.07.29-0251-001,"Шланги вакуумные из ПВХ, диаметр 20 мм",м
22.21.29.120.59.1.12.01-0370-000,Шланги марпреновые для обслуживания анализатора остаточного хлора,шт
25.73.60.120.01.4.01.10-0106-000,"Шнек буровой без проходного отверстия, длина 1500 мм, диаметр 90 мм",шт
25.73.60.120.01.4.01.10-0025-000,"Шнек буровой без проходного отверстия, длина 2000 мм, диаметр 200 мм",шт
25.73.60.120.01.4.01.10-0016-000,"Шнек буровой, длина 1500 мм, диаметр 135 мм",шт
25.73.60.120.01.4.01.10-0018-000,"Шнек буровой, длина 1500 мм, диаметр 180 мм",шт
25.73.60.120.01.4.01.10-0020-000,"Шнек буровой, длина 1500 мм, диаметр 230 мм",шт
25.73.60.120.01.4.01.10-0019-000,"Шнек буровой, длина 1800 мм, диаметр 180 мм",шт
25.73.60.120.01.4.01.10-0098-000,"Шнек двухзаходный для бурения скальных пород с калибровочным кольцом, длина 1700 мм, диаметр 450 мм",шт
25.73.60.120.01.4.01.10-0099-000,"Шнек двухзаходный для бурения скальных пород с калибровочным кольцом, длина 1700 мм, диаметр 550 мм",шт
25.73.60.120.01.4.01.10-0096-000,"Шнек двухзаходный с прогрессивной режущей кромкой для бурения, длина 1700 мм, диаметр 450 мм",шт
25.73.60.120.01.4.01.10-0097-000,"Шнек двухзаходный с прогрессивной режущей кромкой для бурения, длина 1700 мм, диаметр 550 мм",шт
25.73.60.120.59.1.01.04-0129-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 1000 мм, диаметр 108 мм",шт
25.73.60.120.59.1.01.04-0132-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 1000 мм, диаметр 135 мм",шт
25.73.60.120.59.1.01.04-0120-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 1000 мм, диаметр 62 мм",шт
25.73.60.120.59.1.01.04-0122-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 1000 мм, диаметр 64 мм",шт
25.73.60.120.59.1.01.04-0124-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 1000 мм, диаметр 80 мм",шт
25.73.60.120.59.1.01.04-0121-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 1020 мм, диаметр 62 мм",шт
25.73.60.120.59.1.01.04-0130-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 1500 мм, диаметр 108 мм",шт
25.73.60.120.59.1.01.04-0133-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 1500 мм, диаметр 135 мм",шт
25.73.60.120.59.1.01.04-0123-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 1500 мм, диаметр 64 мм",шт
25.73.60.120.59.1.01.04-0125-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 1500 мм, диаметр 80 мм",шт
25.73.60.120.59.1.01.04-0126-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 1500 мм, диаметр 90 мм",шт
25.73.60.120.59.1.01.04-0131-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 1600 мм, диаметр 108 мм",шт
25.73.60.120.59.1.01.04-0134-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 1800 мм, диаметр 135 мм",шт
25.73.60.120.01.4.01.10-0021-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 2000 мм, диаметр 150 мм",шт
25.73.60.120.01.4.01.10-0029-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 2000 мм, диаметр 250 мм",шт
25.73.60.120.01.4.01.10-0033-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 2000 мм, диаметр 300 мм",шт
25.73.60.120.01.4.01.10-0037-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 2000 мм, диаметр 350 мм",шт
25.73.60.120.01.4.01.10-0041-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 2000 мм, диаметр 400 мм",шт
25.73.60.120.01.4.01.10-0045-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 2000 мм, диаметр 450 мм",шт
25.73.60.120.01.4.01.10-0049-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 2000 мм, диаметр 500 мм",шт
25.73.60.120.01.4.01.10-0076-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 2000 мм, диаметр 550 мм",шт
25.73.60.120.01.4.01.10-0080-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 2000 мм, диаметр 600 мм",шт
25.73.60.120.59.1.01.04-0127-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 2000 мм, диаметр 90 мм",шт
25.73.60.120.01.4.01.10-0022-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 4000 мм, диаметр 150 мм",шт
25.73.60.120.01.4.01.10-0026-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 4000 мм, диаметр 200 мм",шт
25.73.60.120.01.4.01.10-0030-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 4000 мм, диаметр 250 мм",шт
25.73.60.120.01.4.01.10-0034-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 4000 мм, диаметр 300 мм",шт
25.73.60.120.01.4.01.10-0038-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 4000 мм, диаметр 350 мм",шт
25.73.60.120.01.4.01.10-0042-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 4000 мм, диаметр 400 мм",шт
25.73.60.120.01.4.01.10-0046-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 4000 мм, диаметр 450 мм",шт
25.73.60.120.01.4.01.10-0050-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 4000 мм, диаметр 500 мм",шт
25.73.60.120.01.4.01.10-0077-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 4000 мм, диаметр 550 мм",шт
25.73.60.120.01.4.01.10-0081-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 4000 мм, диаметр 600 мм",шт
25.73.60.120.01.4.01.10-0023-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 6000 мм, диаметр 150 мм",шт
25.73.60.120.01.4.01.10-0027-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 6000 мм, диаметр 200 мм",шт
25.73.60.120.01.4.01.10-0031-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 6000 мм, диаметр 250 мм",шт
25.73.60.120.01.4.01.10-0035-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 6000 мм, диаметр 300 мм",шт
25.73.60.120.01.4.01.10-0039-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 6000 мм, диаметр 350 мм",шт
25.73.60.120.01.4.01.10-0043-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 6000 мм, диаметр 400 мм",шт
25.73.60.120.01.4.01.10-0047-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 6000 мм, диаметр 450 мм",шт
25.73.60.120.01.4.01.10-0051-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 6000 мм, диаметр 500 мм",шт
25.73.60.120.01.4.01.10-0078-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 6000 мм, диаметр 550 мм",шт
25.73.60.120.01.4.01.10-0082-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 6000 мм, диаметр 600 мм",шт
25.73.60.120.59.1.01.04-0128-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 800 мм, диаметр 108 мм",шт
25.73.60.120.01.4.01.10-0024-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 8000 мм, диаметр 150 мм",шт
25.73.60.120.01.4.01.10-0028-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 8000 мм, диаметр 200 мм",шт
25.73.60.120.01.4.01.10-0032-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 8000 мм, диаметр 250 мм",шт
25.73.60.120.01.4.01.10-0036-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 8000 мм, диаметр 300 мм",шт
25.73.60.120.01.4.01.10-0040-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 8000 мм, диаметр 350 мм",шт
25.73.60.120.01.4.01.10-0044-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 8000 мм, диаметр 400 мм",шт
25.73.60.120.01.4.01.10-0048-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 8000 мм, диаметр 450 мм",шт
25.73.60.120.01.4.01.10-0052-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 8000 мм, диаметр 500 мм",шт
25.73.60.120.01.4.01.10-0079-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 8000 мм, диаметр 550 мм",шт
25.73.60.120.01.4.01.10-0083-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 8000 мм, диаметр 600 мм",шт
25.73.60.120.01.4.01.10-0102-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 8665 мм, диаметр 150 мм",шт
25.73.60.120.01.4.01.10-0104-000,"Шнек для бурения скважин в грунтах группы 1-4, длина 8665 мм, диаметр 200 мм",шт
25.73.60.120.01.4.01.10-0086-000,"Шнек однозаходный для бурения с калибровочным кольцом, длина 1700 мм, диаметр 520 мм",шт
25.73.60.120.01.4.01.10-0087-000,"Шнек однозаходный для бурения с калибровочным кольцом, длина 1700 мм, диаметр 650 мм",шт
25.73.60.120.01.4.01.10-0088-000,"Шнек однозаходный для бурения с калибровочным кольцом, длина 1700 мм, диаметр 780 мм",шт
25.73.60.120.01.4.01.10-0089-000,"Шнек однозаходный для бурения с калибровочным кольцом, длина 1700 мм, диаметр 900 мм",шт
25.73.60.120.01.4.01.10-0109-000,"Шнек однозаходный для бурения скальных пород с калибровочным кольцом, длина 1700 мм, диаметр 1060 мм",шт
25.73.60.120.01.4.01.10-0110-000,"Шнек однозаходный для бурения скальных пород с калибровочным кольцом, длина 1700 мм, диаметр 1350 мм",шт
