name,КСР код,КСР наименование,ref_unit
Анкер-шпилька HST3 М16х145 45/25(срок постаки 4-6 недель),25.94.11.190.01.7.15.01-1526-000,"Анкер-шпильки стальные оцинкованные фрикционные распорные для бетона с трещинами, сейсмостойкость C1, C2, наружная резьба М16, длина 145 мм",10 шт
HST3 М16х145 45 / 25 болт,25.94.11.190.01.7.15.01-1526-000,"Анкер-шпильки стальные оцинкованные фрикционные распорные для бетона с трещинами, сейсмостойкость C1, C2, наружная резьба М16, длина 145 мм",10 шт
Анкер для бетона с шестигранной головкой с воротником R-LX-14X080-HF-ZP гальваническое покрытие,25.94.11.190.01.7.15.01-1548-000,"Анкер-шурупы стальные оцинкованные с шестигранной головкой для бетона с трещинами, сейсмостойкость C1, C2, диаметр 14 мм, длина 75 мм",100 шт
Анкер-шуруп HUS3-H 14x75 10/-/-,25.94.11.190.01.7.15.01-1548-000,"Анкер-шурупы стальные оцинкованные с шестигранной головкой для бетона с трещинами, сейсмостойкость C1, C2, диаметр 14 мм, длина 75 мм",100 шт
Забивной анкер M14/18*60,25.94.11.190.01.7.15.01-1533-000,"Анкер-шурупы стальные оцинкованные с шестигранной головкой, диаметр 10 мм, длина 60 мм",100 шт
Анкер втулочный M14,25.94.11.190.01.7.15.01-1533-000,"Анкер-шурупы стальные оцинкованные с шестигранной головкой, диаметр 10 мм, длина 60 мм",100 шт
Анкер-шуруп HUS3-H 14x75 10/-/-,25.94.11.190.01.7.15.01-1131-000,"Анкер-шурупы стальные оцинкованные с шестигранной головкой, диаметр 8 мм, длина 75 мм",100 шт
"Анкер со спир.пружиной НСА 5/8""х3 1/2",25.94.11.190.01.7.15.01-1131-000,"Анкер-шурупы стальные оцинкованные с шестигранной головкой, диаметр 8 мм, длина 75 мм",100 шт
Анкер-шуруп HUS4-H 14x75 10/-/-,25.94.11.190.01.7.15.01-1131-000,"Анкер-шурупы стальные оцинкованные с шестигранной головкой, диаметр 8 мм, длина 75 мм",100 шт
Анкер-шуруп HUS3-H 14x75 10/-/-,25.94.11.190.01.7.15.01-1131-000,"Анкер-шурупы стальные оцинкованные с шестигранной головкой, диаметр 8 мм, длина 75 мм",100 шт
Арматура композитная АСК-6 Н бухта 50 м(срок постаки 1-2 раб дня),22.23.19.000.11.3.03.16-0081-000,"Арматура стеклокомпозитная АСК, прочность 800 МПа, упругость 50 ГПа, диаметр 4 мм",м
Стеклопластиковая арматура АСК-4,22.23.19.000.11.3.03.16-0081-000,"Арматура стеклокомпозитная АСК, прочность 800 МПа, упругость 50 ГПа, диаметр 4 мм",м
Арматура стеклопластиковая АСК-4,22.23.19.000.11.3.03.16-0081-000,"Арматура стеклокомпозитная АСК, прочность 800 МПа, упругость 50 ГПа, диаметр 4 мм",м
Стеклопластиковая арматура АСК-4,22.23.19.000.11.3.03.16-0081-000,"Арматура стеклокомпозитная АСК, прочность 800 МПа, упругость 50 ГПа, диаметр 4 мм",м
Аэратор кровельный ТехноНИКОЛЬ 160x460мм,22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
Аэратор кровельный  ТехноНИКОЛЬ  160х460мм,22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
Аэратор кровельный ТехноНИКОЛЬ 160х460 мм. Срок поставки 3-4 раочих дня,22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
Аэратор кровельный ТехноНИКОЛЬ ЭКО 160х460 мм,22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
Аэратор кровельный ТехноНИКОЛЬ ЭКО 160x450мм,22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
Аэратор кровельный ТехноНИКОЛЬ ЭКО 160х460 мм,22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
Аэратор кровельный ТехноНИКОЛЬ ЭКО 160x460 мм,22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
Аэратор кровельный ТехноНИКОЛЬ ЭКО 160х460 мм,22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
"Аэратор Поливент СУПЕР d-160 мм, высота 470 мм ( в уп.4 шт.)",22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
Аэратор кровельный ТехноНИКОЛЬ ЭКО 160х460 мм,22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
"Аэратор Поливент Супер д-160 мм,высота 470 мм",22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
Аэратор кровельный  ТехноНИКОЛЬ  160х460мм,22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
"Волма Монтаж Гипсовая клеевая смесь, 30 кг (45шт/под)",23.62.10.000.05.3.01.01-1000-000,"База гипсовая гладкая под колонну, высота от 251 до 400 мм",шт
"Клей гипсовый тонкослойный ""ВОЛМА-Монтаж или анолог",23.62.10.000.05.3.01.01-1000-000,"База гипсовая гладкая под колонну, высота от 251 до 400 мм",шт
"Шпаклевка гипсовая ""Профи База"" De Luxe 25 кг",23.62.10.000.05.3.01.01-1000-000,"База гипсовая гладкая под колонну, высота от 251 до 400 мм",шт
шпаклевка универсальная гипсовая Weber.Vetonit LR+ или аналог,23.62.10.000.05.3.01.01-1000-000,"База гипсовая гладкая под колонну, высота от 251 до 400 мм",шт
Балка 14 Б1,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
Балка 14 с.255 СТО-АСЧМ 20-93,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
"Балка 14 Б1 (1 шт = 129 кг, L = 12 000 мм)",25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
Балка 14 с.255 СТО-АСЧМ 20-93,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
"Балка 14 Б1 (12м=131кг,СтЗпс)",25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
Балка 14 с.255 СТО-АСЧМ 20-93,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
Балка 14 Б1 L=12000мм,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
Балка 14 с.255 СТО-АСЧМ 20-93,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
Балка 14 Б1 с.255 СТО-АСЧМ 20-93,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
Балка 14 с.255 СТО-АСЧМ 20-93,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
Балка 20 Б1,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
Двутавр 20Б1С255-4двутавры стальные горячекатаные с параллельными гранями полокГОСТ Р 57837-2017ГОСТ 27772-2015,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
"Балка 20 Б1, С255",25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
Двутавр 20Б1С255-4двутавры стальные горячекатаные с параллельными гранями полокГОСТ Р 57837-2017ГОСТ 27772-2015,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
"Балка 20 Б1, стО9Г2С",25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
Двутавр 20Б1 двутавры стальные горячекатаные с параллельными гранями полок ГОСТ Р 57837-2017 С345-5 ГОСТ 27772-2015 ГОСТ Р 57837-2017,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
Балка двутавровая №14 Б1,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
Балка 14 с.255 СТО-АСЧМ 20-93,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
Балка монолитная БМ1 (7500x500x400) В25,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
Балка монолитная ж/ б БМ №1,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
Балка монолитная БМ2 (6000x500x400) В25,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
Балка монолитная ж/ б БМ №2,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
Балка монолитная БМ2(6000*500*400) В25,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
балка монолитная ж/б БМ№2,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
Балка монолитная БМ7 (5500x500x350) В25,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
Балка монолитная ж/ б БМ №7,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
Балка монолитная БМ7(5500*500*350) В25,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
балка монолитная ж/б БМ№7,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
Балка монолитная БМЗ (5000x500x300) В25,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
Балка монолитная ж/ б БМ №3,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
Балка монолитная БМ4 (3500x500x200) В20,23.61.12.122.05.1.03.03-0004-000,"Балки стропильные двускатные железобетонные, объем до 5 м3, бетон В40, расход арматуры от 150 до 200 кг/м3",м3
Балка монолитная ж/ б БМ №4,23.61.12.122.05.1.03.03-0004-000,"Балки стропильные двускатные железобетонные, объем до 5 м3, бетон В40, расход арматуры от 150 до 200 кг/м3",м3
Балка монолитная БМ4(3500*500*200) В20,23.61.12.122.05.1.03.03-0004-000,"Балки стропильные двускатные железобетонные, объем до 5 м3, бетон В40, расход арматуры от 150 до 200 кг/м3",м3
балка монолитная ж/б БМ№4,23.61.12.122.05.1.03.03-0004-000,"Балки стропильные двускатные железобетонные, объем до 5 м3, бетон В40, расход арматуры от 150 до 200 кг/м3",м3
Балка монолитная БМ5 (2500x500x200) В20,23.61.12.122.05.1.03.03-0004-000,"Балки стропильные двускатные железобетонные, объем до 5 м3, бетон В40, расход арматуры от 150 до 200 кг/м3",м3
Балка монолитная ж/ б БМ №5,23.61.12.122.05.1.03.03-0004-000,"Балки стропильные двускатные железобетонные, объем до 5 м3, бетон В40, расход арматуры от 150 до 200 кг/м3",м3
Балка монолитная БМ5(2500*500*200) В20,23.61.12.122.05.1.03.03-0004-000,"Балки стропильные двускатные железобетонные, объем до 5 м3, бетон В40, расход арматуры от 150 до 200 кг/м3",м3
балка монолитная ж/б БМ№5,23.61.12.122.05.1.03.03-0004-000,"Балки стропильные двускатные железобетонные, объем до 5 м3, бетон В40, расход арматуры от 150 до 200 кг/м3",м3
"Бетононасос 120 подача бетона, раствора",28.13.11.140.91.07.11-570-000,"Бетононасосы-миксеры прицепные с двигателем внутреннего сгорания, производительность 12 м3/ч",шт
"Бетононасос 120 подача бетона, раствора",28.13.11.140.91.07.11-570-000,"Бетононасосы-миксеры прицепные с двигателем внутреннего сгорания, производительность 12 м3/ч",шт
"Бетононасос 688 подача бетона, раствора",28.13.11.140.91.07.11-570-000,"Бетононасосы-миксеры прицепные с двигателем внутреннего сгорания, производительность 12 м3/ч",шт
"Бетононасос 688 подача бетона, раствора",28.13.11.140.91.07.11-570-000,"Бетононасосы-миксеры прицепные с двигателем внутреннего сгорания, производительность 12 м3/ч",шт
120808-00041 Комплект маркировочный пластмассовый КМП (в упаковке 50 комплектов и 1 маркер) ССД,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
Комплект маркировочный пластмассовый (в упаковке 50 комплектов и 1 маркер) ССД КМП 120808-00041 00041 ЗАО «Связьстройдеталь»,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
"Комплект маркировочный КМП для кабеля, бирки 90x20x2, пластмасса, черный (50 комплектов + 1 маркер) 120808-00041 (СвязьСтройДеталь)",22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
Комплект маркировочный пластмассовый (в упаковке 50 комплектов и 1 маркер) ССД КМП 120808-00041 00041 ЗАО «Связьстройдеталь»,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
Комплект маркировочный пластмассовый КМП (в упаковке 50 комплектов и 1 маркер) ССД,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
Комплект маркировочный пластмассовый (в упаковке 50 комплектов и 1 маркер) ССД КМП ЗАО «Связьстройдеталь» 120808-00041,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
Комплект маркировочный пластмассовый КМП (в упаковке 50 комплектов и 1 маркер) ССД — 14 дней —,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
Комплект маркировочный пластмассовый (в упаковке 50 комплектов и 1 маркер) ССД КМП ЗАО «Связьстройдеталь» 120808-00041,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
Комплект маркировочный пластмассовый КМП (в упаковке 50 комплектов и 1 маркер) ССД — в наличии —,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
Комплект маркировочный пластмассовый (в упаковке 50 комплектов и 1 маркер) ССД КМП ЗАО «Связьстройдеталь» 120808-00041,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
Комплект маркировочный пластмассовый КМП (в упаковке 50 комплектов и 1 маркер) ССД— в наличии —,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
Комплект маркировочный пластмассовый (в упаковке 50 комплектов и 1 маркер) ССД КМП ЗАО «Связьстройдеталь» 120808-00041,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
Дверь межкомнатная глухая финиш-бумага ламинация цвет белый 90x200 мм,25.12.10.000.07.1.01.01-0022-000,"Блок дверной металлический противопожарный двупольный остекленный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1300х2100 мм",шт
Межкомнатные двери 900х2000,25.12.10.000.07.1.01.01-0022-000,"Блок дверной металлический противопожарный двупольный остекленный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1300х2100 мм",шт
(ДМ-2)  дверь металлическая Комплект фурнитуры по ТЗ,25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
"1500х2100, Дверь наружная, двупольная, открывание основной створки-левое, основная створка-900 мм в свету, обе створки активные, оборудована координацией последовательного закрывания полотен; стальная глухая, с доводчиком, утепленная, усиленная, замок цилиндрованный, порог, цвет RAL 7016; ручка «Антипаника»",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
(ДПМ-1 EI-60)  дверь металлическая противопожарная Комплект фурнитуры по ТЗ,25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
"900х1300, Дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет Ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная EI30",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
(ДПМ-1 EI-60)  дверь металлическая противопожарная Комплект фурнитуры по ТЗ Подготовка под ЭМЗ,25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
"1050х2100, Дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет Ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная EI30",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
Двери противопожарные 1200x2100. Без учета монтажа.,25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
Двери противопожарные 1200х2100,25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
Двери противопожарные 1200х2100. Без учета монтажа.,25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
Двери противопожарные 1200х2100,25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
Дверь входная металлическая металл/металл 2050х960х45 мм правая,25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
Дверь  90x200 мм ( комплект),25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
"Дверь металлическая, наруж., двупол. 1500*2100",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
"1500х2100, Дверь наружная, двупольная, открывание основной створки-левое, основная створка-900 мм в свету, обе створки активные, оборудована координацией последовательного закрывания полотен; стальная глухая, с доводчиком, утепленная, усиленная, замок цилиндрованный, порог, цвет RAL 7016; ручка «Антипаника»",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
"Дверь металлическая, однопол., пр. 1050*2100",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
